timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618758412365,1047,HTTP add,200,OK,Assignment 1 1-7,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1047,0,667
1618758412361,1028,HTTP add,200,OK,Assignment 1 1-1,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1028,0,684
1618758412333,1055,HTTP add,200,OK,Assignment 1 1-5,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1055,0,712
1618758412362,1022,HTTP add,200,OK,Assignment 1 1-4,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1019,0,682
1618758412585,798,HTTP add,200,OK,Assignment 1 1-10,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,790,0,434
1618758412564,836,HTTP add,200,OK,Assignment 1 1-9,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,835,0,487
1618758412364,1045,HTTP add,200,OK,Assignment 1 1-6,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1045,0,688
1618758412364,1034,HTTP add,200,OK,Assignment 1 1-2,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1034,0,682
1618758412412,987,HTTP add,200,OK,Assignment 1 1-8,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,986,0,631
1618758412376,1035,HTTP add,200,OK,Assignment 1 1-3,text,true,,586,432,10,10,http://www.dneonline.com/calculator.asmx,1035,0,677
1618758414772,360,HTTP divide,200,OK,Assignment 1 1-1,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,356,0,0
1618758414773,375,HTTP divide,200,OK,Assignment 1 1-10,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,375,0,0
1618758414773,383,HTTP divide,200,OK,Assignment 1 1-6,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,383,0,0
1618758414783,379,HTTP divide,200,OK,Assignment 1 1-5,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,379,0,0
1618758414771,358,HTTP divide,200,OK,Assignment 1 1-9,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,357,0,0
1618758414779,359,HTTP divide,200,OK,Assignment 1 1-4,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,359,0,0
1618758414785,388,HTTP divide,200,OK,Assignment 1 1-8,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,388,0,0
1618758414788,388,HTTP divide,200,OK,Assignment 1 1-2,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,388,0,0
1618758414776,407,HTTP divide,200,OK,Assignment 1 1-7,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,407,0,0
1618758414790,406,HTTP divide,200,OK,Assignment 1 1-3,text,true,,597,442,10,10,http://www.dneonline.com/calculator.asmx,397,0,0
1618758415150,330,HTTP subtract,200,OK,Assignment 1 1-1,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,330,0,0
1618758415154,341,HTTP subtract,200,OK,Assignment 1 1-10,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,341,0,0
1618758415170,331,HTTP subtract,200,OK,Assignment 1 1-5,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,331,0,0
1618758415163,360,HTTP subtract,200,OK,Assignment 1 1-6,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,360,0,0
1618758415183,342,HTTP subtract,200,OK,Assignment 1 1-4,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,342,0,0
1618758415174,361,HTTP subtract,200,OK,Assignment 1 1-9,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,361,0,0
1618758415195,349,HTTP subtract,200,OK,Assignment 1 1-8,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,349,0,0
1618758415210,340,HTTP subtract,200,OK,Assignment 1 1-2,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,338,0,0
1618758415223,337,HTTP subtract,200,OK,Assignment 1 1-3,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,337,0,0
1618758415215,353,HTTP subtract,200,OK,Assignment 1 1-7,text,true,,605,448,10,10,http://www.dneonline.com/calculator.asmx,353,0,0
1618758415489,327,HTTP multiply,200,OK,Assignment 1 1-1,text,true,,605,447,10,10,http://www.dneonline.com/calculator.asmx,327,0,0
1618758415511,349,HTTP multiply,200,OK,Assignment 1 1-10,text,true,,605,447,9,9,http://www.dneonline.com/calculator.asmx,349,0,0
1618758415516,343,HTTP multiply,200,OK,Assignment 1 1-5,text,true,,605,447,9,9,http://www.dneonline.com/calculator.asmx,343,0,0
1618758415534,357,HTTP multiply,200,OK,Assignment 1 1-4,text,true,,605,447,7,7,http://www.dneonline.com/calculator.asmx,357,0,0
1618758415565,339,HTTP multiply,200,OK,Assignment 1 1-3,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,339,0,0
1618758415532,371,HTTP multiply,200,OK,Assignment 1 1-6,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,370,0,0
1618758415558,352,HTTP multiply,200,OK,Assignment 1 1-2,text,true,,605,447,6,6,http://www.dneonline.com/calculator.asmx,352,0,0
1618758415553,367,HTTP multiply,200,OK,Assignment 1 1-8,text,true,,605,447,4,4,http://www.dneonline.com/calculator.asmx,367,0,0
1618758415542,386,HTTP multiply,200,OK,Assignment 1 1-9,text,true,,605,447,2,2,http://www.dneonline.com/calculator.asmx,386,0,0
1618758415573,355,HTTP multiply,200,OK,Assignment 1 1-7,text,true,,605,447,2,2,http://www.dneonline.com/calculator.asmx,355,0,0
